QA_ID_std,14B_sentence_number,4k_ID_std,ID_corr,human_sentence_ids,data_source_corr,sentence_number_corr,keep_k
Merge Q212,"1,2,3,4,6,8,9,10,11,12,13,15",Merge Q212,ID0977,"1, 2, 5, 6, 7, 8, 10, 11, 14, 15",jama,15.0,10.0
Merge Q2120,"1,2,3,4,5",Merge Q2120,ID0907,"1, 2, 3, 4",medxpert,5.0,4.0
Merge Q2122,"1,2,3,4",Merge Q2122,ID1772,"3, 4",medxpert,4.0,2.0
Merge Q213,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q213,ID1431,"8, 11",jama,12.0,2.0
Merge Q2132,"1,2,3,4,5,6,7,8,9,10,11",Merge Q2132,ID1724,"1, 2, 11",medxpert,11.0,3.0
Merge Q214,"1,2,3,4,5,6,7,8,9,10,11,13,14",Merge Q214,ID1925,"1, 2, 3, 4, 5, 6, 7, 8, 10, 11",jama,14.0,10.0
Merge Q2143,"1,2,3,4,5,6",Merge Q2143,ID1656,"1, 4, 5",medxpert,6.0,3.0
Merge Q216,"1,2,3,5,6,7,8,9,10,11,13,14,15",Merge Q216,ID1098,"1, 2, 4, 5, 7, 8, 9, 10, 11, 13, 14",jama,15.0,11.0
Merge Q2177,"1,2,3,4",Merge Q2177,ID1492,"1, 2",medxpert,4.0,2.0
Merge Q219,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",Merge Q219,ID0150,"1, 2, 3, 4, 7, 8, 9, 10, 11, 13, 15",jama,15.0,11.0
Merge Q2193,"1,2,3,4,5,6,7,8",Merge Q2193,ID0655,"1, 3, 7, 8",medxpert,8.0,4.0
Merge Q2197,"1,2,3,4,5",Merge Q2197,ID0627,"1, 4, 5, 6",medxpert,6.0,4.0
Merge Q2200,"1,2,3,4,5",Merge Q2200,ID0626,"1, 2",medxpert,5.0,2.0
Merge Q2202,"1,2,3,4,5",Merge Q2202,ID1757,"1, 2, 3",medxpert,5.0,3.0
Merge Q221,"1,2,3,4,5,6,8,9,10,11,12,13,14,15,17,18",Merge Q221,ID0723,"1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 16, 17, 18",jama,18.0,16.0
Merge Q2222,"1,2,3,4,5",Merge Q2222,ID1147,"1, 2, 6",medxpert,6.0,3.0
Merge Q223,"1,2,3,4,5,6,7",Merge Q223,ID0345,"1, 2, 3, 4, 6",jama,7.0,5.0
Merge Q2231,"1,2,3,4,5,6,7,8",Merge Q2231,ID1766,"1, 2, 6, 7, 8",medxpert,8.0,5.0
Merge Q2235,"1,2,3,4,5,6,7",Merge Q2235,ID0003,"1, 2, 4, 5, 6",medxpert,7.0,5.0
Merge Q2237,"1,2,3,4,5",Merge Q2237,ID0792,1,medxpert,5.0,1.0
Merge Q224,"1,2,4,5,6,7,8,11,13,14,15,16",Merge Q224,ID1550,"1, 7, 8, 9, 11, 12, 13, 15, 16",jama,16.0,9.0
Merge Q2241,"1,2,3,4,5,6,7",Merge Q2241,ID0856,"1, 2, 3, 5, 6, 7",medxpert,7.0,6.0
Merge Q2242,"1,2,3",Merge Q2242,ID1976,"2, 3",medxpert,3.0,2.0
Merge Q2246,"1,2,3,4,5,6",Merge Q2246,ID0211,"1, 3, 4, 5, 6",medxpert,6.0,5.0
Merge Q2255,"1,2,3,4,5,6,7,8",Merge Q2255,ID1946,"1, 2, 3, 6, 8",medxpert,8.0,5.0
Merge Q2256,"1,2,3,4,5",Merge Q2256,ID0805,"2, 3, 4",medxpert,5.0,3.0
Merge Q226,"1,3,5,6,7,9,10,11,12,13,14,15,16,17,18",Merge Q226,ID0161,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18",jama,18.0,16.0
Merge Q2261,"1,2,3,4,5,6,7",Merge Q2261,ID1409,"1, 2, 6, 7",medxpert,7.0,4.0
Merge Q2265,"1,2,3,4,5",Merge Q2265,ID1251,"1, 4, 5",medxpert,5.0,3.0
Merge Q227,"1,2,3,4,5,6,7,8",Merge Q227,ID1904,"1, 2, 5",jama,8.0,3.0
Merge Q2273,"1,2,3",Merge Q2273,ID1775,"2, 3",medxpert,3.0,2.0
Merge Q2281,"1,2,3,4,5,6,7",Merge Q2281,ID0359,"5, 7",medxpert,7.0,2.0
Merge Q2282,"1,2,3,4,5,6,7",Merge Q2282,ID0327,"1, 4, 5, 7",medxpert,7.0,4.0
Merge Q229,"1,3,4,5,6,7,8,9,10,11",Merge Q229,ID0002,"1, 2, 4, 6, 11",jama,11.0,5.0
Merge Q23,"1,2,3,4,5,6,7,9,10",Merge Q23,ID1019,"1, 2, 4, 5, 7",jama,10.0,5.0
Merge Q230,"1,2,3,4,6,7,8,9,11,14",Merge Q230,ID1185,"1, 3, 7",jama,14.0,3.0
Merge Q2311,"1,2,3,4",Merge Q2311,ID1062,"1, 2",medxpert,4.0,2.0
Merge Q2319,"1,2,3,4",Merge Q2319,ID0085,"1, 4",medxpert,4.0,2.0
Merge Q232,"1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,18,19",Merge Q232,ID1659,"1, 3, 5, 10, 11, 12, 13, 14, 15, 18, 19",jama,19.0,11.0
Merge Q2324,"1,2,3,4,5,6,7,8,9,10",Merge Q2324,ID0827,"1, 2, 7",medxpert,10.0,3.0
Merge Q2329,"1,2,3,4,5,6,7,8,9,10",Merge Q2329,ID0320,"1, 2, 3, 4, 6, 7, 8, 9, 10",medxpert,10.0,9.0
Merge Q2336,"1,2,3",Merge Q2336,ID1994,1,medxpert,3.0,1.0
Merge Q2338,"1,2,3,4,5,6,7",Merge Q2338,ID1208,"1, 2, 3, 4, 7",medxpert,7.0,5.0
Merge Q235,"1,2,3,4,5,6,7,8,9,10,11",Merge Q235,ID0300,"1, 2, 3, 4, 5, 6, 9, 10",jama,12.0,8.0
Merge Q236,"1,2,3,4,5,6,7,8,9,11",Merge Q236,ID0399,"1, 2, 5, 6, 7, 9, 11",jama,11.0,7.0
Merge Q2361,"1,2,3,4,5,6",Merge Q2361,ID1448,"1, 4, 5",medxpert,6.0,3.0
Merge Q2366,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q2366,ID1102,"1, 2, 3, 11, 12",medxpert,12.0,5.0
Merge Q2367,"1,2,3,4,5",Merge Q2367,ID1389,"1, 3, 4",medxpert,5.0,3.0
Merge Q2369,"1,2,3,4,5,6,7,8,9,10,11",Merge Q2369,ID1026,"10, 11",medxpert,11.0,2.0
Merge Q237,"1,2,3,4,5,6,7,8,10",Merge Q237,ID0927,"8, 9, 10, 11",jama,11.0,4.0
Merge Q2370,"1,2,3,4,5,6,7,8,9",Merge Q2370,ID0761,"1, 3, 4, 5, 6, 7, 8, 9",medxpert,9.0,8.0
Merge Q2376,"1,2,3,4,5,6,7,8",Merge Q2376,ID1727,"1, 2, 3, 4, 5, 6",medxpert,8.0,6.0
Merge Q238,"1,2,3,4,5,7,8,9,10,11,12,13,15",Merge Q238,ID1588,"1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 14",jama,15.0,12.0
Merge Q2383,"1,2,3,4,5",Merge Q2383,ID1712,"1, 4",medxpert,5.0,2.0
Merge Q2384,"1,2,3,4,5,6,7,8,10",Merge Q2384,ID0594,"3, 9, 10",medxpert,9.0,2.0
Merge Q239,"1,2,3,4,5,6,9,10",Merge Q239,ID1037,"1, 2, 8, 9, 10",jama,10.0,5.0
Merge Q2397,"1,2,3,4,5,6",Merge Q2397,ID0140,"1, 2, 5",medxpert,6.0,3.0
Merge Q24,"1,2,3,4,6,7,8,9,10,11,12,13,15,16,17,18",Merge Q24,ID1183,"1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 16, 17, 18",jama,18.0,13.0
Merge Q240,"1,2,3,4,5,7,8,9,10,11,13,14",Merge Q240,ID1761,"1, 6, 7, 8, 9, 10, 11, 13",jama,14.0,8.0
Merge Q2402,"1,2,3,4,5,6,7",Merge Q2402,ID0684,"1, 7",medxpert,7.0,2.0
Merge Q2405,"1,2,3,4,5,6,7",Merge Q2405,ID0262,"1, 2, 3, 5, 6, 8",medxpert,8.0,6.0
Merge Q2408,"1,2,3,4,5,6,7,8,9,10,11,12,13",Merge Q2408,ID0242,"7, 8, 9, 10, 11, 12",medxpert,13.0,6.0
Merge Q2409,"1,2,3,4,5,6",Merge Q2409,ID0376,"2, 4, 6",medxpert,6.0,3.0
Merge Q2413,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q2413,ID0099,"2, 5, 8, 9, 10",medxpert,12.0,5.0
Merge Q2414,"1,2,3,4,5,6,7",Merge Q2414,ID0455,"1, 2, 4, 5, 6",medxpert,7.0,5.0
Merge Q2435,"1,2,3,4,6,7",Merge Q2435,ID1975,"1, 3, 5, 6",medxpert,5.0,2.0
Merge Q2437,"1,2,3,4,5",Merge Q2437,ID1896,"1, 2, 5",medxpert,5.0,3.0
Merge Q2438,"1,2,3,4,5,6,7,8",Merge Q2438,ID0092,"6, 7",medxpert,8.0,2.0
Merge Q245,"1,2,3,4,5,6,7,8,9,10,11",Merge Q245,ID0310,"1, 2, 3, 6, 7, 8, 9, 12",jama,12.0,8.0
Merge Q2450,"1,2,3,4,5",Merge Q2450,ID1743,"1, 5",medxpert,5.0,2.0
Merge Q2456,"1,2,3,4,5,6,7,8",Merge Q2456,ID0073,"1, 2, 8",medxpert,8.0,3.0
Merge Q246,"1,2,3,4,5,6,8,9,10,11,13,14,15,16",Merge Q246,ID1671,"1, 2, 3, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16",jama,16.0,13.0
Merge Q2473,"1,2,3,4,5,6",Merge Q2473,ID1778,"1, 2, 4, 5",medxpert,6.0,4.0
Merge Q2481,"1,2,3,4,5,6,7",Merge Q2481,ID0148,"1, 4, 6, 7",medxpert,7.0,4.0
Merge Q249,"1,2,3,4,5,6,7,8",Merge Q249,ID0047,"1, 2, 4, 5, 6, 8",jama,8.0,6.0
Merge Q2490,"1,2,3,4,5,6,7,8,9,10",Merge Q2490,ID0591,"1, 2, 7, 8, 10",medxpert,10.0,5.0
Merge Q2494,"1,2,3,4,5",Merge Q2494,ID0336,"1, 4, 5",medxpert,5.0,3.0
Merge Q2495,"1,2,3,4,5,6,7",Merge Q2495,ID0870,"2, 3, 6, 8",medxpert,8.0,4.0
Merge Q2497,"1,2,3,4",Merge Q2497,ID1254,4,medxpert,4.0,1.0
Merge Q251,"1,2,3,4,5,7,8,9,10,11",Merge Q251,ID0142,"2, 5, 8, 9, 11",jama,11.0,5.0
Merge Q2511,"1,2,3,4,5,6",Merge Q2511,ID1483,"1, 2, 3, 5, 6",medxpert,6.0,5.0
Merge Q2517,"1,2,3,4,5,6,7",Merge Q2517,ID1567,"1, 2, 3",medxpert,7.0,3.0
Merge Q2533,"1,2,3,4,5,6,7,8,9,10",Merge Q2533,ID1154,"1, 7, 9, 10",medxpert,10.0,4.0
Merge Q2536,"1,2,3,4,5,6,7,8,9,10,11",Merge Q2536,ID1694,"1, 2, 3, 10",medxpert,11.0,4.0
Merge Q2539,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",Merge Q2539,ID0532,"1, 2, 3, 4, 6, 12, 16, 17",medxpert,17.0,8.0
Merge Q254,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q254,ID1835,"1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12",jama,12.0,11.0
Merge Q2542,"1,2,3,4",Merge Q2542,ID1463,1,medxpert,4.0,1.0
Merge Q2550,"1,2,3,4,5",Merge Q2550,ID1958,"1, 4, 5",medxpert,5.0,3.0
Merge Q256,"1,2,3,4,5,6,7,9,10,11,13,14",Merge Q256,ID0365,"1, 3, 4, 5, 13, 14",jama,14.0,6.0
Merge Q2568,"1,2,3,4,5,6",Merge Q2568,ID0672,"1, 2, 3",medxpert,6.0,3.0
Merge Q2569,"1,2,3,4,5,6,7,8",Merge Q2569,ID0621,"1, 2, 3, 4, 6, 7, 8",medxpert,8.0,7.0
Merge Q258,"1,2,3,5,6,7,8,11,12,14,15",Merge Q258,ID1540,"1, 3, 4, 5, 8, 11, 13, 14",jama,15.0,8.0
Merge Q2582,"1,2,3,4,5,6",Merge Q2582,ID1696,"1, 2, 6",medxpert,6.0,3.0
Merge Q2589,"1,2,3,4,5",Merge Q2589,ID0668,"1, 5",medxpert,5.0,2.0
Merge Q2593,"1,2,3,4,5,6,7,8,9,10",Merge Q2593,ID1830,"1, 2, 3, 4",medxpert,10.0,4.0
Merge Q2594,"1,2,3,4,5,6",Merge Q2594,ID1392,"1, 2, 5",medxpert,5.0,2.0
Merge Q2595,"1,2,3,4,5,6,7",Merge Q2595,ID0641,"1, 4, 5, 7",medxpert,7.0,4.0
Merge Q26,"1,2,3,4,6,7,9,10,11,12,13",Merge Q26,ID1937,"1, 2, 3, 4, 6, 7, 8, 9",jama,13.0,8.0
Merge Q2608,"1,2,3,4,5",Merge Q2608,ID1312,"3, 5",medxpert,5.0,2.0
Merge Q2609,"1,2,3,4,5,6",Merge Q2609,ID1434,"1, 2, 3, 5, 6, 7",medxpert,7.0,6.0
Merge Q261,"1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17",Merge Q261,ID1533,"1, 7, 8, 11, 12",jama,17.0,5.0
Merge Q2614,"1,2,3,4,5,6",Merge Q2614,ID0798,"1, 4, 5, 6",medxpert,6.0,4.0
Merge Q2621,"1,2,3,4,5",Merge Q2621,ID1190,"4, 5",medxpert,5.0,2.0
Merge Q2622,"1,2,3,4,5",Merge Q2622,ID1979,"1, 2, 3, 5",medxpert,5.0,4.0
Merge Q2630,"1,2,3,4,6,7,8",Merge Q2630,ID0291,"1, 2, 8",medxpert,5.0,0.0
Merge Q2636,"1,2,3,4",Merge Q2636,ID0391,"1, 2, 3",medxpert,4.0,3.0
Merge Q2639,"1,2,3,4,5,6",Merge Q2639,ID0651,"1, 2, 3, 5, 6",medxpert,6.0,5.0
Merge Q264,"1,2,3,4,6,7,8,9",Merge Q264,ID1359,"1, 2, 3, 4, 7, 8, 9, 11",jama,11.0,8.0
Merge Q2643,"1,2,3,4,5,6,7,8,9",Merge Q2643,ID1176,"1, 2, 3, 4, 5, 6",medxpert,9.0,6.0
Merge Q265,"1,2,3,4,5,6,7,8,9,10,11,12,13,14",Merge Q265,ID0797,"1, 3, 4, 5, 7, 8, 9, 10, 11",jama,14.0,9.0
Merge Q2652,"1,2,3,4,5,6",Merge Q2652,ID1067,"3, 5, 6",medxpert,6.0,3.0
Merge Q2653,"1,2,3,4,5",Merge Q2653,ID1428,"1, 2, 5",medxpert,5.0,3.0
Merge Q266,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",Merge Q266,ID0935,"1, 15",jama,15.0,2.0
Merge Q267,"1,2,3,4,5,6,7,9,10,11",Merge Q267,ID0094,"1, 2, 3, 4, 5, 6, 8, 9, 10",jama,11.0,9.0
Merge Q2670,"1,2,3,4,5,6",Merge Q2670,ID0614,"1, 2, 5",medxpert,6.0,3.0
Merge Q2672,"1,2,3,4",Merge Q2672,ID0096,"1, 4, 5",medxpert,5.0,3.0
Merge Q2673,"1,2,3,4",Merge Q2673,ID0536,"3, 4",medxpert,4.0,2.0
Merge Q2678,"1,2,3",Merge Q2678,ID1750,"1, 2",medxpert,3.0,2.0
Merge Q269,"1,2,3,4,5,6,8,9,10,11,12,13",Merge Q269,ID1318,"1, 5, 6, 8, 10, 11, 12, 13",jama,14.0,8.0
Merge Q27,"1,2,3,4,7,8",Merge Q27,ID1264,"1, 2",jama,8.0,2.0
Merge Q2705,"1,2,3,4,5,6,7,8",Merge Q2705,ID0567,"1, 2, 6, 7",medxpert,8.0,4.0
Merge Q2710,"1,2,3,4,6,7,8",Merge Q2710,ID1617,"1, 5, 6",medxpert,5.0,0.0
Merge Q2711,"1,2,4,5",Merge Q2711,ID0828,"1, 3, 4, 5",medxpert,3.0,2.0
Merge Q272,"1,2,3,4,6,7,8,9,11,12",Merge Q272,ID0257,"1, 2, 6, 7, 8, 10, 11, 12",jama,12.0,8.0
Merge Q2724,"1,2,3,4,5,6,7",Merge Q2724,ID1414,1,medxpert,7.0,1.0
Merge Q2725,"1,2,3,4,5,6",Merge Q2725,ID0811,"1, 2, 3, 4",medxpert,6.0,4.0
Merge Q273,"1,2,3,4,5,6,7,8,9,10,11,13,14,15,16",Merge Q273,ID0088,"1, 2, 4, 7, 10, 11, 14, 15, 16",jama,16.0,9.0
Merge Q2742,"1,2,3,4,5,6,7,8,9",Merge Q2742,ID0572,"1, 2, 8, 9",medxpert,9.0,4.0
Merge Q275,"1,2,3,4,5,7,8,9,10,11",Merge Q275,ID1820,"1, 3, 4, 7",jama,11.0,4.0
Merge Q276,"1,2,3,4,5,6,7,8",Merge Q276,ID1020,"4, 7, 8, 9",jama,9.0,4.0
Merge Q2772,"1,2,3,4",Merge Q2772,ID0379,"1, 3",medxpert,4.0,2.0
Merge Q278,"1,2,4,5,6,7,8,10,11,12",Merge Q278,ID0511,"1, 4, 8, 12",jama,12.0,4.0
Merge Q2780,"1,2,3,4,5,6,7,8,9,10,11,12,13,14",Merge Q2780,ID1987,"1, 2, 3, 4, 9, 10, 12",medxpert,14.0,7.0
Merge Q2787,"1,2,3,4,5",Merge Q2787,ID0598,"1, 2, 5",medxpert,5.0,3.0
Merge Q279,"1,2,3,4,5,6,7,8,11",Merge Q279,ID0460,"1, 2, 3, 6, 7, 9, 10",jama,11.0,7.0
Merge Q2796,"1,2,3,4,5,6",Merge Q2796,ID0523,"1, 6",medxpert,6.0,2.0
Merge Q281,"1,2,3,5,6,7,8,9,10,11,13",Merge Q281,ID0803,"1, 3, 4, 5, 8, 10",jama,13.0,6.0
Merge Q2813,"1,2,3,4,5",Merge Q2813,ID1614,"3, 5",medxpert,5.0,2.0
Merge Q2814,"1,2,3,4,5,6,7,8",Merge Q2814,ID0284,"1, 3, 5, 6, 7",medxpert,8.0,5.0
Merge Q2820,"1,2,3,4,5,6,7,8",Merge Q2820,ID1858,"1, 2, 3, 6, 9",medxpert,9.0,5.0
Merge Q2831,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q2831,ID1997,"1, 2, 4",medxpert,12.0,3.0
Merge Q2834,"1,2,3,4,5,6",Merge Q2834,ID1085,"1, 2, 5, 6",medxpert,6.0,4.0
Merge Q2836,"1,2,3,4,5,6,7",Merge Q2836,ID1380,"1, 6, 7",medxpert,7.0,3.0
Merge Q2838,"1,2,3,5",Merge Q2838,ID1840,"1, 4",medxpert,4.0,1.0
Merge Q284,"1,2,3,4,6,7,8,9,10,12,14,16",Merge Q284,ID1242,"1, 2, 4, 5, 7, 8, 10, 11, 12, 13, 14, 16, 17",jama,17.0,13.0
Merge Q285,"1,2,3,4,5,6,8,9,10",Merge Q285,ID1949,"1, 4, 7, 8, 9, 10",jama,10.0,6.0
Merge Q2855,"1,2,3,4,5,6,7,8",Merge Q2855,ID0979,"1, 7, 8",medxpert,8.0,3.0
Merge Q286,"1,2,3,4,5,6,8,9,10,11",Merge Q286,ID0254,"1, 2, 4, 5, 8, 9, 10, 11",jama,11.0,8.0
Merge Q287,"1,2,3,4,5,6,7,8,10,11",Merge Q287,ID0590,1,jama,12.0,1.0
Merge Q2870,"1,2,3,4,5,6,7,8",Merge Q2870,ID0616,"1, 3, 4, 5, 6, 7, 8",medxpert,8.0,7.0
Merge Q288,"1,2,3,4,5,6,7,8,9,10",Merge Q288,ID0740,"1, 4, 5, 6, 10",jama,10.0,5.0
Merge Q2880,"1,2,3,4,5,6",Merge Q2880,ID1432,"1, 2, 4, 5",medxpert,6.0,4.0
Merge Q2896,"1,2,3,4,5,6",Merge Q2896,ID0514,"1, 2, 5, 6, 7",medxpert,7.0,5.0
Merge Q2898,"1,2,3,4,5,6,7,8,9",Merge Q2898,ID1029,"1, 2, 8, 9, 10",medxpert,10.0,5.0
Merge Q29,"1,2,3,5,6,7,8,9,10,11,13,14,15",Merge Q29,ID1538,"1, 2, 3, 4, 5, 6, 7, 8, 9, 13, 14, 15",jama,15.0,12.0
Merge Q290,"1,2,3,4,5,6,7,8,9,10",Merge Q290,ID1652,"1, 4, 7, 8, 9, 10",jama,10.0,6.0
Merge Q291,"1,2,3,4,6,7,8,9,10,12,13,14,15,17,18,19,20,21",Merge Q291,ID0246,"1, 2, 4, 5, 11, 12, 13, 14, 15, 19, 20",jama,21.0,12.0
Merge Q292,"1,2,3,4,5,6,7,8,9,10,11,12,13,14",Merge Q292,ID1353,"1, 3, 4, 5, 6, 9, 10, 11, 12, 13",jama,14.0,10.0
Merge Q2921,"1,2,3,4,5",Merge Q2921,ID0942,"1, 5",medxpert,5.0,2.0
Merge Q293,"1,2,3,4,5,6,7,9,10,11,12,13,16,17,18,19,20,21",Merge Q293,ID1551,"1, 2, 3, 10, 12, 14, 15, 16, 17, 19, 20",jama,21.0,12.0
Merge Q2936,"1,2,3,4,5,6",Merge Q2936,ID1755,"1, 3, 4, 5, 6",medxpert,6.0,5.0
Merge Q295,"1,2,4,6,7,8,10,11,12,13,14,15,16,18,19",Merge Q295,ID1178,"1, 2, 4, 10, 12, 13, 16, 19",jama,19.0,8.0
Merge Q2958,"1,2,3,4",Merge Q2958,ID1226,"1, 3, 4",medxpert,4.0,3.0
Merge Q2962,"1,2,3,4,5,6,7,8",Merge Q2962,ID1557,"1, 7",medxpert,8.0,2.0
Merge Q297,"1,2,3,4,5,6,7,8",Merge Q297,ID1288,"4, 6, 7, 8",jama,8.0,4.0
Merge Q2973,"1,2,3,4,5,6,7,8,9",Merge Q2973,ID0425,"1, 3, 4, 5, 8, 9",medxpert,9.0,6.0
Merge Q298,"1,2,3,4,5,6,7",Merge Q298,ID1346,"1, 2, 6, 7",jama,7.0,4.0
Merge Q2984,"1,2,3,4,5,6,7,8,9",Merge Q2984,ID0235,"1, 2, 3, 4, 5, 6, 7, 9",medxpert,9.0,8.0
Merge Q2988,"1,2,3,4,5,6,7,8,9,10,11",Merge Q2988,ID0371,"2, 3, 7, 9, 10",medxpert,11.0,5.0
Merge Q2997,"1,2,3,4,5,6,7",Merge Q2997,ID0972,"3, 4, 5",medxpert,7.0,3.0
Merge Q2998,"1,2,3,4",Merge Q2998,ID0349,"1, 4",medxpert,4.0,2.0
Merge Q3,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",Merge Q3,ID0973,"1, 2, 14, 15, 17",jama,17.0,5.0
Merge Q30,"1,2,3,4,5",Merge Q30,ID1931,"1, 2, 4, 5",jama,6.0,4.0
Merge Q300,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",Merge Q300,ID0451,"1, 3, 5, 6, 9, 10, 11, 12, 19, 20",jama,21.0,11.0
Merge Q3000,"1,2,3,4,5,6,7,8,9,10,11",Merge Q3000,ID1179,"1, 5, 6, 7, 8, 9, 10",medxpert,11.0,7.0
Merge Q3001,"1,2,3,4",Merge Q3001,ID0912,"1, 4",medxpert,4.0,2.0
Merge Q3002,"1,2,3,4,5,6,7,8,9,10",Merge Q3002,ID1767,"1, 2, 3, 6, 7, 8, 9",medxpert,10.0,7.0
Merge Q3003,"1,2,3,4,5,6,7,8,9,10,11,12,14,15",Merge Q3003,ID1691,"1, 13, 15",medxpert,13.0,1.0
Merge Q3009,"1,2,3,4,5,6,7,8,9",Merge Q3009,ID0880,"1, 3, 8",medxpert,9.0,3.0
Merge Q301,"1,2,3,4,5,6,7,8,9,11,12,13",Merge Q301,ID1823,"1, 2, 4, 5, 7, 8, 10, 11, 12, 13",jama,13.0,10.0
Merge Q3014,"1,2,3,4,5,6,7,8,9,10,11,12,13,14",Merge Q3014,ID0922,"1, 2, 3, 4, 7, 10",medxpert,14.0,6.0
Merge Q3015,"1,2,3,4,5,6,7",Merge Q3015,ID1591,"2, 6",medxpert,7.0,2.0
Merge Q3016,"1,2,3,4",Merge Q3016,ID0298,"1, 2, 4",medxpert,4.0,3.0
Merge Q3019,"1,2,3,4,5,6,7",Merge Q3019,ID1356,"1, 5, 6",medxpert,7.0,3.0
Merge Q302,"1,2,3,4,5,6,7,8,9,10,11,13,14,15",Merge Q302,ID1787,"2, 3, 4, 6, 8, 9, 10, 13, 14, 15",jama,15.0,10.0
Merge Q3020,"1,2,3,4,5",Merge Q3020,ID1423,"1, 3, 4, 5",medxpert,5.0,4.0
Merge Q3026,"1,2,3,4,5,6,7,8",Merge Q3026,ID1328,"1, 2, 3, 4, 7, 8",medxpert,8.0,6.0
Merge Q303,"1,2,3,4,5,6,7,8,9,10,11,13,14",Merge Q303,ID1113,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14",jama,14.0,13.0
Merge Q3033,"1,2,3,4,5",Merge Q3033,ID1501,"1, 4",medxpert,5.0,2.0
Merge Q3036,"1,2,3,4,5,6,7,8",Merge Q3036,ID0587,"1, 2, 3, 4, 5, 6, 7",medxpert,8.0,7.0
Merge Q304,"1,2,3,4,5,6,7,8,10,11,12,13,15",Merge Q304,ID1520,"1, 2, 4, 5, 6, 10, 11, 12, 13",jama,16.0,9.0
Merge Q3048,"1,2,3,4,5,6,7,8,9",Merge Q3048,ID0275,"1, 2, 3, 8, 9",medxpert,9.0,5.0
Merge Q3058,"1,2,3,4,5,6",Merge Q3058,ID0170,"1, 2, 4, 6",medxpert,6.0,4.0
Merge Q306,"1,2,3,4,5,6,7,8,9,10,11,13",Merge Q306,ID1127,"1, 3, 5, 7, 11",jama,13.0,5.0
Merge Q3068,"1,2,3,4,5,6,7,8,9,10,11",Merge Q3068,ID0385,"1, 2, 11",medxpert,11.0,3.0
Merge Q307,"1,2,3,4,5,7,8,9,10,12,13,14",Merge Q307,ID0417,"1, 2, 4, 5, 8, 9, 10, 12, 13, 14, 15",jama,15.0,11.0
Merge Q3070,"1,2,3,4,5,7,8",Merge Q3070,ID0292,"1, 3, 4, 6",medxpert,6.0,2.0
Merge Q308,"1,2,3,5,6,7,9,10",Merge Q308,ID1852,"1, 2, 3, 5, 6, 7, 8, 9, 10",jama,10.0,9.0
Merge Q310,"1,2,3,4",Merge Q310,ID1164,"1, 3, 4",jama,9.0,7.0
Merge Q3105,"1,2,3,4,5,6,7,8",Merge Q3105,ID1910,"3, 4, 6",medxpert,8.0,3.0
Merge Q311,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",Merge Q311,ID0030,"2, 3, 5, 11",jama,15.0,4.0
Merge Q3111,"1,2,3",Merge Q3111,ID0696,"1, 2, 4",medxpert,4.0,3.0
Merge Q3118,"1,2,3,4,5,6",Merge Q3118,ID1744,"1, 2, 4",medxpert,6.0,3.0
Merge Q312,"1,2,3,4,6,7,8,9,10,11,13,14,15",Merge Q312,ID0079,"6, 7, 8, 9, 14, 15",jama,15.0,6.0
Merge Q313,"1,2,3,4,5,6,7,8,9,10,11,12,13",Merge Q313,ID1699,"1, 3, 4, 6, 7, 8",jama,13.0,6.0
Merge Q3134,"1,2,3,4,5,6,7",Merge Q3134,ID1817,"1, 2, 5, 7",medxpert,7.0,4.0
Merge Q3136,"1,2,3,4,5",Merge Q3136,ID0166,"1, 2, 5",medxpert,5.0,3.0
Merge Q3147,"1,2,3,4,5",Merge Q3147,ID0426,"1, 2, 3",medxpert,5.0,3.0
Merge Q315,"1,2,3,4,5,6,7,8,9,10,11,12",Merge Q315,ID0289,"1, 2, 3, 5, 6, 9, 11, 12",jama,12.0,8.0
Merge Q3154,"1,2,3,4,5,6,7",Merge Q3154,ID1194,"1, 2, 6",medxpert,7.0,3.0
Merge Q3156,"1,2,3,4,5,6",Merge Q3156,ID1072,2,medxpert,6.0,1.0
Merge Q3165,"1,2,3,4,5,6",Merge Q3165,ID1125,"1, 6",medxpert,6.0,2.0
