Origin,data_source_corr,q1_majority,Correct answer,matches_correct
ID1875,jama,d,D,True
ID1876,jama,a,A,True
ID1877,jama,a,,False
ID1878,medbullets,a,,False
ID1879,jama,c,B,False
ID1880,medbullets,b,B,True
ID1881,mmlu,a,A,True
ID1882,medbullets,c,D,False
ID1883,jama,a,,False
ID1884,medxpert,e,,False
ID1885,jama,b,,False
ID1886,medxpert,f,F,True
ID1887,jama,c,C,True
ID1888,medxpert,d,E,False
ID1889,mmlu,c,C,True
ID1890,medxpert,j,J,True
ID1891,medxpert,g,,False
ID1892,medxpert,h,H,True
ID1893,jama,a,C,False
ID1894,medxpert,c,,False
ID1895,medbullets,b,B,True
ID1896,medxpert,j,J,True
ID1897,jama,a,,False
ID1898,medbullets,c,C,True
ID1899,jama,c,C,True
ID1900,jama,c,C,True
ID1901,medxpert,e,,False
ID1902,jama,b,C,False
ID1903,jama,b,B,True
ID1904,jama,d,D,True
ID1905,medxpert,f,G,False
ID1906,medxpert,f,,False
ID1907,medxpert,b,,False
ID1908,mmlu,c,C,True
ID1909,jama,c,C,True
ID1910,medxpert,f,F,True
ID1911,mmlu,d,D,True
ID1912,mmlu,d,D,True
ID1913,medxpert,g,E,False
ID1914,medxpert,j,,False
ID1915,medxpert,g,G,True
ID1916,mmlu,d,,False
ID1917,jama,b,B,True
ID1918,jama,c,C,True
ID1919,medbullets,c,C,True
ID1920,jama,c,,False
ID1921,medxpert,h,,False
ID1922,medxpert,a,,False
ID1923,medxpert,d,D,True
ID1924,medxpert,f,F,True
ID1925,jama,c,C,True
ID1926,medxpert,d,,False
ID1927,medbullets,b,B,True
ID1928,jama,c,C,True
ID1929,medxpert,f,F,True
ID1930,medbullets,c,,False
ID1931,jama,a,A,True
ID1932,jama,b,B,True
ID1933,jama,c,C,True
ID1934,jama,a,A,True
ID1935,jama,a,,False
ID1936,medxpert,a,,False
ID1937,jama,b,B,True
ID1938,medbullets,a,A,True
ID1939,jama,c,,False
ID1940,jama,b,B,True
ID1941,medxpert,f,F,True
ID1942-new,,j,,False
ID1943,mmlu,d,,False
ID1944,medxpert,a,J,False
ID1945,medbullets,b,B,True
ID1946,medxpert,a,A,True
ID1947,medxpert,d,D,True
ID1948,medxpert,h,H,True
ID1949,jama,c,C,True
ID1950,medxpert,e,,False
ID1951,jama,c,C,True
ID1952,medbullets,a,A,True
ID1953,jama,b,B,True
ID1954,medxpert,b,,False
ID1955,medbullets,c,C,True
ID1956,jama,c,C,True
ID1957,medxpert,e,E,True
ID1958,medxpert,g,G,True
ID1959,jama,d,D,True
ID1960,mmlu,b,,False
ID1961,jama,d,,False
ID1962,medxpert,a,A,True
ID1963,medbullets,b,B,True
ID1964,jama,d,,False
ID1965,jama,d,D,True
ID1966,jama,a,A,True
ID1967,medxpert,c,,False
ID1968,jama,b,,False
ID1969,mmlu,a,A,True
ID1970,jama,b,B,True
ID1971,medbullets,a,,False
ID1972,mmlu,b,B,True
ID1973,jama,c,,False
ID1974,medbullets,c,C,True
ID1975,medxpert,a,A,True
ID1976,medxpert,a,A,True
ID1977,jama,d,D,True
ID1978,medbullets,a,,False
ID1979,medxpert,h,H,True
ID1980,medxpert,b,I,False
ID1981,jama,a,D,False
ID1982,medxpert,i,,False
ID1983,medbullets,d,D,True
ID1984,mmlu,d,D,True
ID1985,medxpert,b,,False
ID1986,jama,c,C,True
ID1987,medxpert,a,H,False
ID1988,jama,d,,False
ID1989,mmlu,b,B,True
ID1990,jama,c,C,True
ID1991,jama,d,D,True
ID1992,medxpert,f,,False
ID1993,mmlu,d,D,True
ID1994,medxpert,i,E,False
ID1995,mmlu,d,D,True
ID1996,mmlu,d,D,True
ID1997,medxpert,c,B,False
ID1998,medbullets,a,A,True
ID1999,medxpert,e,C,False
ID2000,mmlu,a,,False
